Plant ID,Plant,Group,Treatment,Temp,CO2,Day 0,Day 0,Day 0,Day 1,Day 1,Day 1,Day 2,Day 2 ,Day 2,Day 3,Day 3,Day 3,Day 4,Day 4,Day 4,Day 5,Day 5,Day 5,Day 6,Day 6,Day 6,Day 7,Day 7,Day 7,Day 8,Day 8,Day 8,Day 9,Day 9,Day 9,Final_adaxial_AVG,Final_Abaxial_AVG,LCI_4,LCI_4,LCI_4,LCI_5,LCI_5,LCI_5,LCI_6,LCI_6,LCI_6,LCI_7,LCI_7,LCI_7,LCI_9,LCI_9,LCI_9,LCI_15,LCI_15,LCI_15,Final_LCI_Avg,Fresh_Mass,DryMass,Leaf_Disc
HIB0201,H.rosa-sinensis,HIB02,Warming+eCO2,37,800,,,,43,39,42,,,,,,,,,,,,,,,,,,,,,,59,33,24,38.67,51.33,,,,,,,,,,,,,,,,,,,,,6.13,0.0074
HIB0202,H.rosa-sinensis,HIB02,Warming+eCO2,37,800,,,,51,34,35,,,,,,,,,,,,,,,,,,,,,,33,29,28,30.00,60.00,,,,,,,,,,,,,,,,,,,,,7.21,0.0109
HIB0203,H.rosa-sinensis,HIB02,Warming+eCO2,37,800,,,,53,50,46,,,,,,,,,,,,,,,,,,,,,,51,58,55,54.67,35.33,,,,,,,,,,,,,,,,,,,,,4.83,110
HIB0301,H.rosa-sinensis,HIB03,eCO2,30,800,,,,52,51,39,,,,,,,,,,,,,,,,,,,,,,43,37,39,39.67,50.33,,,,,,,,,,,,,,,,,,,,,15.88,0.0157
HIB0302,H.rosa-sinensis,HIB03,eCO2,30,800,,,,44,39,33,,,,,,,,,,,,,,,,,,,,,,39,34,32,35.00,55.00,,,,,,,,,,,,,,,,,,,,,16.03,0.0113
HIB0303,H.rosa-sinensis,HIB03,eCO2,30,800,,,,60,42,39,,,,,,,,,,,,,,,,,,,,,,45,37,34,38.67,51.33,,,,,,,,,,,,,,,,,,,,,16.66,0.0125
HIB0401,H.rosa-sinensis,HIB04,Warming,37,400,,,,64,54,36,,,,,,,,,,,,,,,,,,,,,,48,35,38,40.33,49.67,,,,,,,,,,,,,,,,,,,,,7.15,
HIB0402,H.rosa-sinensis,HIB04,Warming,37,400,,,,75,61,41,,,,,,,,,,,,,,,,,,,,,,57,51,34,47.33,42.67,,,,,,,,,,,,,,,,,,,,,7.61,0.0092
HIB0403,H.rosa-sinensis,HIB04,Warming,37,400,,,,51,45,48,,,,,,,,,,,,,,,,,,,,,,55,53,35,47.67,42.33,,,,,,,,,,,,,,,,,,,,,6.43,0.0083
Mint0101,M.xpiperita,Mint01,eCO2,22,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.96,0.32,0.47,0.45,0.26,0.09,,,,0.57,0.55,0.30,,,,0.47,31.70,7.21,0.0066
Mint0102,M.xpiperita,Mint01,eCO2,22,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.33,0.14,0.28,0.35,0.57,0.41,,,,0.38,0.48,0.24,,,,0.37,31.20,7.15,0.0054
Mint0103,M.xpiperita,Mint01,eCO2,22,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.80,0.21,0.68,0.68,0.37,0.63,,,,0.60,0.37,0.74,,,,0.57,22.30,5.62,0.0055
Mint0201,M.xpiperita,Mint02,Warming,28,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.27,0.14,0.44,0.27,0.23,0.23,,,,0.21,0.30,0.22,,,,0.24,18.50,4.30,0.005
Mint0202,M.xpiperita,Mint02,Warming,28,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.29,0.25,0.35,0.11,0.16,0.20,,,,0.37,0.18,0.27,,,,0.27,26.40,6.06,0.0053
Mint0203,M.xpiperita,Mint02,Warming,28,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19,0.10,0.23,0.08,0.08,0.05,,,,0.28,0.11,0.34,,,,0.24,28.40,5.88,0.0041
